"Program","What It Is","Money Direction","Participant Pay or Cost 2026","Referral / Partner Economics","Location","Duration","Stage","Selectivity","Status 2026","Source"
"Schneider — Carrier-Sponsored CDL Apprenticeship Training","Schneider's paid CDL Apprenticeship Training (~5–7.5 weeks at a Schneider facility) with compensation during training, company-funded lodging and meals. Up to $7,000 tuition reimbursement available for qualified drivers. STRING: contract obligation to Schneider after training.","YOU GET PAID","Paid during training (amount varies). Post-CDL: per-mile or hourly pay. Up to $7,000 reimbursement over time. Year 1 earnings typically $45,000–$60,000. CDL private value: ~$5,000–$7,000.","'Unlimited' referral bonuses advertised by Schneider for CDL drivers — specific amount is position/location-dependent. Confirm with Schneider recruiting.","Schneider training centers (Green Bay WI, Carlisle PA, and others)","5–7.5 weeks training + contract commitment (~1 year typical)","Post-HS","Open (must meet age/license requirements)","Operating","https://schneiderjobs.com/truck-driving-jobs/inexperienced/paid-cdl-training"
"CRST Expedited — Carrier-Sponsored CDL Training","CRST pays full CDL school tuition in exchange for a 10-month CRST Expedited driving contract. Tuition not deducted from paycheck. Alternatively, pay $6,500 upfront for no contract. STRING: 10-month solo OTR contract (shorter than Prime/Schneider but heavy OTR lifestyle).","YOU GET PAID","CDL tuition covered (~$6,500 value). Year 1 earnings in student/trainer phase then solo: typically $40,000–$52,000 depending on miles.","CRST published referral: up to $2,000 per referred driver hired/leased through 2026. Paid in four installments: $500 at hire + $500 at 30 days + $500 at 60 days + $500 at 90 days (both parties must remain active at each payout).","Cedar Rapids IA (training HQ); OTR nationwide","CDL school: ~3 weeks + 10-month driving contract","Post-HS","Open","Operating","https://www.crst.com/wp-content/uploads/2020/10/1e288edf59a1a7b8-Student-Packet.pdf"
"Roehl Transport — 'Get Your CDL & Get Paid' Program","Roehl hires you as an employee from Day 1 of CDL training (~3 weeks). You receive employee pay + benefits during training. Training cost treated as an interest-free loan forgiven after 120,000 solo miles (~15 months of average driving). STRING: mileage-based forgiveness, not a simple time contract.","YOU GET PAID","Paid as employee during training (not stipend). Lodging and most meals covered. Year 1 earnings: typically $50,000–$65,000. Training loan (~$6,000–$8,000) forgiven at 120,000 miles.","Roehl published referral: up to $1,500 for referring an experienced CDL driver. Training-needed referral amount not separately published — confirm with Roehl.","Marshfield WI (training HQ); OTR nationwide","~3-week CDL school + ~15-month mileage commitment","Post-HS","Open","Operating","https://www.roehl.jobs/driving-jobs/cdl-truck-driving-schools"
"USFS Wildland Firefighter Apprenticeship Program","U.S. Forest Service 3,000-hour paid registered apprenticeship leading to federal Forestry Technician (GS-5/6) career position. Training fully covered by USFS. Red Card (IANL FFT2) credential earned. Academic year at residential fire academy + OJT seasons.","YOU GET PAID","GS-4 or GS-5 federal pay during apprenticeship (~$18–$23/hr base + locality pay). All training costs paid by USFS. Hazard pay when on fire. Red Card + ICS certifications earned free (private value ~$1,500–$3,000 for comparable training).","No referral payment.","National Forests nationwide (residential academy + field assignments)","~2 years to 3,000 hours; path to permanent GS position","Post-HS","Competitive (USAJOBS application; work capacity test required)","Operating (2026 GW-3 postings confirmed at ~$21.14/hr)","https://www.fs.usda.gov/working-with-us/jobs/fire-apprentice"
"SCA / USFS Wildland Fire Academy Fuels Team (Conservation Corps)","Student Conservation Association partnered with USFS: paid seasonal wildland fire crew position including free S-130/S-190/L-180/S-212/WFA certifications, transportation, and meals. Red Card qualification supported. 2026 season: May 4–Oct 23.","YOU GET PAID","Paid corps position (amount varies by SCA program; SCA Integrated Fire program: $600/week). Free wildfire certifications (private value: S-130/190/L-180 course = ~$500–$1,500). Wilderness First Aid included.","No referral payment.","National Forests (varies by placement)","~6 months seasonal (May–Oct typically)","Post-HS","Competitive (arduous Work Capacity Test required)","Operating","https://thesca.org/integrated-fire-and-recreation-internship-program"
"California Conservation Corps — Wildland Fire Crew","CCC year-round fire crews earn ICS-100/700, S-110/130/190, L-180 certifications free. CCC may help obtain EMT cert (limited; EMT may not be fully covered). Members receive hourly wages plus housing option.","YOU GET PAID","Hourly wage (~$16–$17/hr, near CA minimum wage). Housing option available at some centers. Free wildfire certifications (ICS, NWCG S-series) = ~$500–$1,500 private value.","No referral payment.","California statewide","1-year initial commitment (renewable)","Post-HS","Open (CA residents aged 18–25)","Operating","https://ccc.ca.gov/training/firefighting/"
"Army National Guard Split-Option Enlistment (17–18 year olds)","Enlist at 17 (with parental consent) as a HS junior; complete BCT summer between junior/senior year; return for senior year + monthly drills; complete AIT summer after graduation. MOS credential earned + GI Bill Kicker ($350/mo) + up to $13,000 enlistment bonus + state tuition waiver. COMMITMENT: 6-year obligation. NOT a gap year — flag accordingly.","YOU GET PAID","BCT/AIT: E-1/E-2 pay (~$2,000–$2,500/month while on orders). Monthly drill pay during school year (~$300–$400/month). GI Bill Kicker: $350/month for 36 months if qualifying. Enlistment bonus: up to $13,000 (MOS/state-dependent; not guaranteed). State tuition waivers (varies by state; some cover 100% in-state tuition). Federal Tuition Assistance: up to $4,500/year.","Military recruiting has no cash referral program for civilians. Guard recruiters do not pay referral bonuses to third parties.","Nationwide (BCT at federal training bases; drills at state armories)","6-year total obligation (enlist at 17; BCT summer before senior year; AIT summer after graduation)","Post-HS","Competitive (ASVAB, medical, legal screening)","Operating. FLAG: 6-year military obligation, NOT a gap year. Multiple-year commitment before education benefits fully vest.","https://www.nationalguard.com/split-training-option"
"Army National Guard State Tuition Waivers (varies by state)","Most states offer Guard members 100% or partial in-state tuition waivers at public colleges. Examples: Arkansas NGTW (100% in-state public tuition); Colorado (newly signed 2025). COMMITMENT: must remain active Guard member.","YOU GET PAID","100% in-state tuition waiver at qualifying public colleges (value: $8,000–$25,000/year depending on state). Must be active Guard member throughout enrollment.","No third-party referral payment.","State-specific (nearly all states have some version)","Duration of active Guard enlistment (minimum 6 years)","Post-HS","Open to Guard members who meet eligibility","Operating (varies by state; Colorado newly added May 2025; verify current state program)","https://nationalguard.com/benefits/education/pay-for-school"
"Berea College — Tuition-Free Work College","Berea College (Berea, KY): every admitted student receives a Tuition Promise Scholarship covering 100% of tuition ($9,100+ annual value). All students participate in the Labor Program (10–15 hours/week of on-campus work). Room/board/fees not fully covered. Highly selective.","NET NEUTRAL","Tuition: $0 (100% scholarship for all admitted students). Labor Program scholarship: $9,100/year disbursed to student account. Room, board, and fees (~$8,000–$12,000/year) still required. Total tuition value saved: ~$9,100×4 years = ~$36,400.","No referral payment.","Berea, Kentucky","4 years (bachelor's degree)","Post-HS","Highly competitive (low-income preference; selective admissions)","Operating","https://berea.smartcatalogiq.com/current/catalog/admissions-and-financial-aid/financial-aid-and-student-accounts"
"College of the Ozarks — Tuition-Free Work College ('Hard Work U')","Every full-time student's academic tuition is covered by the Tuition Assurance program (work credits + grants/scholarships). Students work 15 hrs/week + two 40-hr work weeks/year. NOTE: room, board, fees, and books NOT included in tuition assurance.","NET NEUTRAL","Tuition: $0 for full-time students (Tuition Assurance covers academic tuition via work + grants). Room/board/fees remain: ~$8,000–$12,000/year. Total tuition value saved over 4 years: ~$24,000–$32,000.","No referral payment.","Point Lookout, Missouri (Ozarks)","4 years (bachelor's degree)","Post-HS","Competitive (Christian values and financial need emphasis)","Operating","https://cofo.edu/Cost"
"Alice Lloyd College — Tuition-Free Work College (Appalachia)","ALC covers 100% of academic tuition for qualifying full-time students from its 108-county Central Appalachian service region via grants, scholarships, and the required Student Work Program (10 hrs/week minimum, 160 hrs/semester). Credential: 4-year bachelor's degree at zero tuition.","NET NEUTRAL","Tuition: $0 for eligible Appalachian-region students. Room/board/fees: ~$8,000–$10,000/year (charged separately). Total tuition value saved: ~$40,000+ over 4 years.","No referral payment.","Pippa Passes, Kentucky (Central Appalachian service area required for eligibility)","4 years (bachelor's degree)","Post-HS","Competitive (geographic eligibility + financial need + academic standing)","Operating","https://alc.edu/our-tuition-guarantee/"
"Deep Springs College — Full Scholarship 2-Year Liberal Arts","Extremely selective 2-year residential college in the California desert. Every admitted student receives a full scholarship covering tuition, room, AND board. Students work 20+ hrs/week on the college's working cattle ranch. Only ~13–15 students admitted per year. Pathway to elite transfer to 4-year colleges.","YOU GET PAID","Tuition + room + board: $0 (full scholarship). Annual value: ~$60,000+ (tuition+room+board at comparable residential college). Travel and incidental costs remain.","No referral payment.","Deep Springs Valley, California (remote ranch campus)","2 years","Post-HS","Highly competitive (~10–15 admitted per year from ~200+ applicants)","Operating","https://www.deepsprings.edu/frequently-asked-questions/"
"Fire/EMS Explorer / Cadet Program (BSA / National Pattern)","BSA Learning for Life Fire/EMS Explorer programs for ages 14–20 (some 14–21). Provides exposure to firefighting, EMS, and public safety at zero cost. Pathway to formal volunteer membership and free Firefighter I/II + EMT training once 18. Entry point before 18 for the larger free-credential pathway.","NET NEUTRAL","Free to participate. No pay. Credential value: preparation/pipeline for Firefighter I/II + EMT-B (~$6,000–$8,000 value when earned at 18).","No referral payment.","Nationwide (post at local fire stations; search learningforlife.org)","1–4 years (until age 18 when full volunteer membership begins)","Post-HS","Open (age 14–20)","Operating","https://www.learningforlife.org/exploring/law-enforcement/"
"Western Colorado Conservation Corps — Fire Crew","Paid conservation fire crew partnered with BLM. Members certified as wildland firefighters (S-130/190/L-180/ICS-100/WCT) during training. Season: Feb 23–Nov 20, 2026. Full Red Card qualification pathway. Free wildfire certifications included.","YOU GET PAID","Paid crew position (corps wage; typically $700–$1,000/week). Free wildfire certifications: S-130/190/L-180/ICS series (~$500–$1,500 private value). Hazard pay when deployed.","No referral payment.","Western Colorado (Grand Junction area)","~9 months seasonal (Feb–Nov)","Post-HS","Competitive (arduous Work Capacity Test required)","Operating","https://www.wcccpartners.org/fire-crew"
"BC3 EMS Academy — Stipend-Paid Free EMT Training (Pennsylvania local)","Butler County Community College (PA) EMS Academy: free 8-week EMT-Basic training with a $13/hour training stipend paid during training, plus ride-alongs. County-funded pipeline to Butler County EMS employment. Private market value of EMT-B: ~$1,500–$3,000.","YOU GET PAID","Training: $0. Stipend: $13/hour during training hours. Total stipend value during 8-week program: ~$2,000–$3,000 estimate. EMT-B credential private value: ~$1,500–$3,000.","No published referral payment.","Butler County, Pennsylvania","8 weeks","Post-HS","Competitive (county EMS pipeline; limited spots)","Operating (verify cohort dates with BC3)","https://bc3.edu/programs/ems-academy.html"
"Hillsborough County Fire Rescue Foundation — Paid Firefighter/EMT Training Program","Hillsborough County FL (Tampa area) foundation-funded cohort program: free tuition, books, uniforms, protective clothing rental, AND an $18/hour class/clinical stipend. Dual credential: Firefighter I/II + EMT-Basic in one program. Jan 2026 cohort (next cohort TBD).","YOU GET PAID","Tuition, books, uniforms: free. Stipend: $18/hour during classroom/clinical hours. Combined Firefighter I/II + EMT-B private market value: ~$8,000–$10,000. Stipend value over training period: ~$10,000–$15,000 (est. based on $18/hr rate).","No published referral payment.","Hillsborough County, Florida (Tampa area)","~6–8 months (full academy)","Post-HS","Competitive (application/selection process; limited cohort size)","Operating (Jan 2026 cohort confirmed; next cohort dates TBD — watch HCFR Foundation website)","https://hcfl.gov/residents/public-safety/fire-rescue/hillsborough-county-fire-rescue-foundation-firefighter-and-emt-job-training-program"
"Netherlands Working Holiday Visa — US Eligibility Status","The Netherlands does not have a bilateral working holiday agreement with the United States. US citizens require standard Dutch work permits or EU Blue Card for employment. Commonly mislisted in WHV comparison tables.","NET NEUTRAL","N/A — CLOSED to US citizens as a WHV. US citizens can work in Netherlands with employer-sponsored Highly Skilled Migrant permit or EU-based routes only.","N/A","Netherlands","N/A","N/A","N/A","CLOSED to US citizens (no bilateral WHV agreement). Japan has a WHV with the Netherlands; USA does not.","https://ind.nl/en/work/working-in-the-netherlands (no US WHV category listed)"
"Czech Republic / Slovakia Working Holiday — US Eligibility Status","Czech Republic and Slovakia offer working holiday schemes but only with countries that have bilateral agreements. The United States is NOT a partner country for either. Multiple travel blogs incorrectly list these as open to US citizens.","NET NEUTRAL","N/A — CLOSED to US citizens. Neither Czech Republic nor Slovakia has a bilateral WHV agreement with the USA.","N/A","Czech Republic / Slovakia","N/A","N/A","N/A","CLOSED to US citizens. No bilateral WHV treaty with USA.","Czech Republic Ministry of Interior / Slovak Ministry of Foreign Affairs (no US WHV category found)"
"Estonia Working Holiday — US Eligibility Status","Estonia has a working holiday agreement with Japan (as of 2020) but NOT with the United States. US citizens require a standard work permit or EU Blue Card to work legally in Estonia.","NET NEUTRAL","N/A — CLOSED to US citizens. Estonia has no bilateral WHV agreement with the USA.","N/A","Estonia","N/A","N/A","N/A","CLOSED to US citizens. Estonia's WHV is with Japan only (as of 2020); USA not included.","https://www.mofa.go.jp/j_info/visit/w_holiday/index.html (Estonia appears in Japan's list; US does not)"
"Spain Working Holiday Visa — US Eligibility Status","Spain's working holiday agreement is with a limited set of non-EU countries (Australia, NZ, Canada, Japan, Chile, and a few others). The United States is NOT among them. US citizens who want to work in Spain use NALCAP (government teaching program) or need a regular work permit.","NET NEUTRAL","N/A — CLOSED to US citizens as a WHV. Use NALCAP/Meddeas teaching pathways instead.","N/A","Spain","N/A","N/A","N/A","CLOSED to US citizens (no bilateral WHV with Spain). NALCAP is the primary paid work pathway for US citizens in Spain.","Spanish consulate WHV information (no US category found)"
"Argentina Working Holiday — US Eligibility Status","Argentina has working holiday agreements with several countries (Chile, Canada, Australia, NZ, France, Germany, and others). The United States is NOT among them. US citizens can stay in Argentina for 90 days without a visa but cannot work legally without a standard work permit.","NET NEUTRAL","N/A — CLOSED to US citizens as a WHV. Argentina does not have a bilateral working holiday agreement with the USA.","N/A","Argentina","N/A","N/A","N/A","CLOSED to US citizens. No bilateral WHV treaty between USA and Argentina.","https://cancilleria.gob.ar/en/migraciones (no US WHV category found)"
"Chile Working Holiday — US Eligibility Status","Chile's working holiday visa is listed in many US gap-year resources. However, Chile's WHV partner countries are limited and do NOT currently include the United States as a bilateral partner. Commonly cited incorrectly.","NET NEUTRAL","N/A — UNVERIFIED/likely CLOSED to US citizens. Chile's WHV partners verified include Germany, France, Canada, Australia, NZ, and a few others but US is not confirmed. Contact Chilean consulate to verify.","N/A","Chile","N/A","N/A","N/A","UNVERIFIED. US eligibility for Chile WHV not confirmed on official Chilean immigration sources. Commonly mislisted as open to US citizens.","https://www.extranjeria.gob.cl (US-specific WHV not confirmed)"
"Paid TEFL Internship Abroad (Asia)","Private TEFL providers (Premier TEFL, International TEFL Academy, CIEE) offer 'internship' programs in Thailand, Vietnam, Cambodia, South Korea, and other countries with rolling admissions. Includes TEFL certification + placement support + orientation. Fastest route to start teaching when government program windows are closed.","YOU PAY","Program fee: USD $1,000 3,500 (includes TEFL course + placement support). Teaching stipend/salary once placed: USD $600 2,000/mo depending on country. Thailand: net negative year 1 (approx. -USD $500 1,500 total after program fee + flights). Korea: net positive year 1 despite program fee.","Premier TEFL affiliate program: 10–15% of course fee (~USD $30–80/referral). International TEFL Academy affiliate: similar rates. Essential TEFL: $270/referral (highest). These programs collectively account for the highest affiliate commission volume in the teach-abroad sector.","Thailand, Vietnam, Cambodia, South Korea, and others","4–12 months","Age 18+. Some require bachelor's degree (country-dependent). US citizenship. No experience required.","Low — rolling admissions; designed for beginners","OPEN to US citizens. Program fee is real upfront cost. Net year 1 varies by country.","https://premiertefl.com/blogs/posts/teach-abroad-programs-new-graduates"
"InterExchange Work Abroad (Australia, New Zealand)","US-based nonprofit organization offering Work & Travel programs for US citizens to Australia and New Zealand using official WHV pathways. InterExchange acts as a facilitator/Recognized Organization providing pre-departure orientation, in-country support, job placement assistance, and emergency support.","YOU GET PAID","Program fee: USD $475–800 one-time. Does not cover visa fee (AUD $840 for 462 / NZD $770 for NZ). Teaching salaries as per destination country (see Australia 462 and NZ WHV rows). Net positive over 12 months — program fee is a relatively small one-time cost vs total earnings.","InterExchange has a referral bonus program for past participants (USD $100–200 credit for referring a paying enrollee). Institutional partner commissions for university career centers and advisors (contact InterExchange for rates).","Australia, New Zealand (primary destinations for US citizens)","12–24 months","Age 18–30. Must meet visa-specific requirements (462 requires tertiary education).","Low — rolling admissions; InterExchange places thousands of US participants annually","OPEN to US citizens. USD $475–800 program fee. Facilitator for official government WHV pathways.","https://www.interexchange.org/work-travel"
"Global Work & Travel (Australia, New Zealand, Canada)","Commercial working holiday placement company offering packaged programs for US citizens to Australia (462), New Zealand, and Canada (SWAP route). Provides job guarantee packages, accommodation for first weeks, and in-country support.","YOU GET PAID","Program fee: USD $995 1,995 depending on package (includes job guarantee, accommodation, orientation). Visa fees additional. Australia wages as per 462 (AUD $24.10+ /hr minimum). Net positive over 12 months but program fee reduces year-1 savings by USD $1,000 2,000.","Global Work & Travel affiliate program: publishes 5–10% commission on program fee per referred enrollee (~USD $50–200/referral). Working holiday blog affiliates are a significant distribution channel for this company.","Australia (primary), New Zealand, Canada","12–24 months","Age 18–30. 462 requires tertiary education evidence.","Low — commercial provider; rolling admissions","OPEN to US citizens. Higher-cost alternative to DIY working holiday.","https://www.globalworkandtravel.com"
"TEFL Certificate Programs (as enabler for paid work abroad)","TEFL/TESOL certificates (100+ hours) are required or strongly preferred for EPIK, hagwons, TaLK, and most private language school jobs. Not a program that pays — a prerequisite investment that enables paid positions. Online courses (International TEFL Academy, Premier TEFL, TEFL UK, BRIDGE) range USD $200 1,000.","YOU PAY","Cost: USD $200 1,000 for online 120-hr course. In-person Bangkok course (Essential TEFL): USD $1,300. Enables access to EPIK (Level 2, KRW 2,100,000+/mo), hagwon jobs (KRW 2,000,000+/mo), and Vietnam/Thailand positions.","TEFL affiliate programs are the highest-volume affiliate opportunity in the teach-abroad sector. Rates: TEFL UK £25/sale flat; Premier TEFL 10–15% (~$30–80/sale); TEFLen 15–30% tiered; Bridge TEFL 15% (~$30–60/sale); Essential TEFL $270/sale (highest single-sale rate). Bloggers in the teach-abroad niche earn USD $500 5,000/mo from TEFL course affiliates.","Online (anywhere)","2–4 weeks online or 4 weeks in-person","Age 18+. No prerequisites for most courses.","None — open enrollment","OPEN. Cost is real. Payback period via EPIK/hagwon salary: 1–2 months.","https://tefluk.com/partner-with-us/refer-a-friend; https://www.essentialtefl.com/tefl-affiliates"
"Dude Ranch Wrangler (Colorado / Montana)","Horse wrangler / trail guide at dude and guest ranches; leads guests on horseback rides, cares for horses, assists with ranch operations","YOU GET PAID","$14.50–$17.50/hr + tips (most 2026 postings); or $1,500–$2,100/month salary + tips at some ranches. Experienced hunting/packing guides: $2,500–$3,500/month + tips. Housing (dorm or bunkhouse) and often three meals/day included; confirm if taxable deduction","Unverified for individual ranches; RanchWork.com is the major listing platform (charges employers, no affiliate to applicants)","Colorado (northern CO, Aspen area), Montana (historic dude ranches), and nationwide","May–Sep or Jun–Sep (~4–5 months)","Post-HS / Both","Open to Competitive (depends on horsemanship experience)","Operating — multiple 2026 postings on RanchWork.com and CoolWorks confirmed through July 2026","https://www.ranchwork.com/job/summer-wranglers-needed-at-ranch-resort-spa-in-colorado-may-sept-housing-provided/"
"Lindblad Expeditions — Naturalist / Field Guide","Expedition naturalist aboard Lindblad vessels; leads shore excursions, lectures on wildlife/ecology, assists passengers in Zodiacs, Alaska/Galapagos/Arctic/other routes","YOU GET PAID","$310–$330/day (Japan ornithology / Mandarin-speaking Naturalist); $330/day (NW Coast Cultural Specialist); $458–$475/day (Alaska Expedition Leader). Travel expenses paid per contracts reviewed. Accommodation and meals aboard ship","Unverified","Alaska, Galapagos, NW Coast, Japan, Antarctica; home port varies by itinerary","Contract-based; multi-week to multi-month voyages","Post-undergrad (bachelor's degree or 4 yrs experience typically required)","Highly competitive (specialized knowledge required; not entry-level)","Operating — multiple 2026 postings live on Lever/Lindblad careers","https://jobs.lever.co/lindblad-expeditions"
"Texas A&M Wildlife Field Technician (South Texas)","Seasonal field technician for Texas A&M research: bird point counts, owl surveys, small mammal trapping, vegetation sampling; communal on-site housing","YOU GET PAID","$18/hr, 40 hrs/wk. Communal on-site housing AND transportation provided at no cost. Wildlife coursework/experience required; must tolerate heat and thorny terrain","No referral economics; posted via Texas A&M Natural Resources Job Board (jobs.rwfm.tamu.edu)","South Texas","Through Jun 22, 2026 (open until filled)","Post-HS / Both (wildlife coursework required)","Competitive","Active posting — verify availability; may be filled as of Aug 20, 2026","https://jobs.rwfm.tamu.edu/view-job/?id=112858"
"Beach Nesting Bird Technician (Delaware DNREC)","Seasonal wildlife technician for shorebird protection and bird banding/trapping on Delaware beaches; fieldwork-focused","YOU GET PAID","$16.50/hr. No housing mentioned in listing. Full-time hours. Bird trapping, banding, nest monitoring, public outreach","No referral economics; posted via Texas A&M job board","Delaware coast","Seasonal summer 2026","Post-HS / Both","Competitive","Posting confirmed 2026 via TAMU board; verify current availability","https://jobs.rwfm.tamu.edu/view-job/?id=113097"
"Two Creek Farm (NCAT) — Regenerative Agriculture Apprentice","Paid farm apprenticeship in regenerative/organic growing; hands-on season-long work with mentorship in northeast Pennsylvania","YOU GET PAID","$15/hr + end-of-season bonus + farmhouse housing + utilities + farm food + purchase discount. Apr 1–Nov 30, 2026. Three openings","No referral economics; posted via NCAT/ATTRA board","Northeast Pennsylvania","Apr 1–Nov 30, 2026 (8 months)","Post-HS / Both","Open","Operating — 3 openings listed May 2026, rolling applications","https://www.ncat.org/internship/regenerative-apprenticeship/"
"EarthDance Farms — Farm Apprentice (Missouri)","Paid regenerative farming apprenticeship with educational programming; CSA, market gardening, livestock; structured training","YOU GET PAID","$17/hr (up to 24 hrs/wk training + program participation) + $175/month healthcare stipend + PTO + holidays + weekly produce share. May–December 2026","No referral economics; listed on EarthDance site and Good Food Jobs","Missouri","May–Dec 2026 (~8 months, part-time hours)","Post-HS / Both","Open","Operating — 2026 posting confirmed on EarthDance site","https://earthdancefarms.org/2026-full-season-farm-apprenticeship-job-description/"
"Oregon Farm Corps — Rogue Valley Regenerative Farming Fellowship","Part-time paid fellowship learning regenerative farming practices across multiple farms in southern Oregon; educational + hands-on","YOU GET PAID","$17.58/hr, 14 hrs/wk. Paid training and educational events. Potential for extra hours. Fuel reimbursement. Apr 1–Oct 29, 2026. 4 positions available","No referral economics","Central Point, OR (Rogue Valley)","Apr 1–Oct 29, 2026 (7 months, part-time)","Post-HS / Both","Open","Operating — 2026 fellowship page active","https://www.oregonfarmcorps.org/rff"
"MSU Upper Peninsula — Regenerative Agriculture Intern","Full-time summer research internship in regenerative agriculture at Michigan State University's UP Research and Extension Center; dorm housing included","YOU GET PAID","$15/hr, ~40 hrs/wk, up to 12 weeks (May 11–Jul 31, 2026). Dorm-style housing provided. Application deadline Jan 31 has passed — verify availability for late entry or 2027","No referral economics; university posting","Michigan Upper Peninsula","May 11–Jul 31, 2026 (~12 weeks)","Post-HS / Both (college student preferred)","Competitive","Potentially filled — deadline passed Jan 31, 2026; contact MSU directly","https://www.canr.msu.edu/jobs/regenerative-agriculture-intern"
"PADI Divemaster / Instructor (Domestic Resort)","Scuba divemaster or instructor at US domestic dive resort or dive shop; guides dives, runs courses, maintains equipment","YOU GET PAID","US domestic pay: highly variable and mostly unverified. PADI Instructor at Florida Keys or Hawaii dive shops ranges $15–$25/hr + lesson commissions unverified 2026. International rates: $450–$2,000/month range depending on destination, typically with accommodation. Confirm with specific employer","Unverified","Florida Keys, Hawaii, Caribbean, or international (Greece, Italy, Thailand, Honduras, etc.)","Season-dependent; 3–7 months typical for seasonal resorts","Post-HS (PADI Divemaster certification required; Instructor rating for higher pay)","Competitive (PADI DM or Instructor cert required)","Operating — international 2026 postings confirmed; US domestic unverified from employer pages","https://divejobs.padi.com/"
"Xanterra — Tour Bus Driver, Grand Canyon South Rim","Commercial bus driver operating tours from Grand Canyon South Rim; requires CDL; among the highest-paying Xanterra seasonal roles","YOU GET PAID","$25.50/hr (verified CoolWorks/Xanterra 2026 posting). Same housing terms as other Xanterra South Rim staff. CDL required","Unverified","Grand Canyon National Park, South Rim, AZ","Seasonal, spring–Oct","Post-HS (CDL required; min 21 in most states for CDL)","Open to qualified CDL holders","Operating — May 2026 posting confirmed","https://www.coolworks.com/grand-canyon-south-rim/highlighted-job/80839-tour-bus-driver-17"
"Apprenticeship.gov — Registered Apprenticeship Finder (Gateway Tool)","Federal DOL portal listing all registered apprenticeship programs in the US. Entry point for finding any trade apprenticeship (IBEW, UA, IUEC, ironworkers, sheet metal, and hundreds more). Not a program itself — the directory that connects applicants to programs with paid-while-you-learn wages and zero tuition.","NET NEUTRAL","Free to search and apply. Participants earn wages from Day 1 at the applicable union local rate (see individual trade entries). No tuition ever charged in registered apprenticeships.","No referral payment for using the portal.","Nationwide","Varies by trade: 1–5 years","Post-HS","Varies by trade","Operating","https://www.apprenticeship.gov"
"Westchester County NY HERRO — Volunteer Fire/EMS Education Incentive","Westchester County NY program reimbursing active volunteer fire/EMS members up to $2,000/year for accredited college, trade school, or focused training programs. Subject to service, enrollment, GPA, funding, and residency requirements.","YOU GET PAID","Up to $2,000/year tuition reimbursement (stacks with free FDNY-adjacent Firefighter I/II training and NY FASNY HELP). Must meet residency and activity thresholds.","No referral payment.","Westchester County, New York","Annual; renewable while active and eligible","Post-HS","Competitive (GPA + service + funding limits)","Operating (2026 guide confirmed)","https://emergencyservices.westchestercountyny.gov/"
"Warren Wilson College — Work College (Partial Tuition Credit)","Every residential student must work; the Work Program provides a $3,000 annual tuition credit. NOT tuition-free: 2025–26 tuition is $25,500; estimated total cost ~$54,550/year. Included here for contrast and completeness vs. fully free work colleges.","YOU PAY","$3,000 Work Program grant reduces $25,500 tuition to $22,500 (pre-other-aid). After all aid: net cost varies widely. Total estimated cost ~$54,550/year before individual aid packages.","No referral payment.","Asheville, North Carolina","4 years (bachelor's degree)","Post-HS","Competitive","Operating","https://www.warren-wilson.edu/academics/work-program/"
"USFS Hotshot Crew — Senior Firefighter (GW-6/7)","Federal wildland firefighter on a 20-person Interagency Hotshot Crew (IHC); elite ground-based suppression team; deployed nationally","YOU GET PAID","GW-6: $57,670–$74,970/yr (seasonal); GW-7: $63,249–$91,974/yr depending on locality. Significant overtime and hazard-duty pay on top. Not entry-level — requires prior seasons. Housing typically in crew barracks; varies by unit","No referral bonus — federal","Based at USFS ranger stations nationwide; deployed anywhere in US during fire season","Seasonal permanent appointments (~6–8 months)","Post-HS (2+ seasons fire experience typically required)","Highly competitive","Operating — BLM/USFS hotshot positions on USAJOBS and NIFC careers; federal hiring backlog still affects some positions","https://www.nifc.gov/careers/blm-fire-job"
"Copper River Seafoods — Seafood Processor","Salmon cannery processor at Copper River, AK; line work during sockeye run; free airfare and room/board reimbursed after season completion","YOU GET PAID","$17.91/hr regular, $26.87/hr OT. Transportation (round-trip airfare) and room/board ($10/day) reimbursed after season completed in good standing. Net: full gross wages during season; reimbursements at end","Unverified","Copper River area / Cordova, AK","~4–6 weeks during sockeye run (Jun–Jul 2026)","Post-HS (18+)","Open","Operating — 2026 hiring page active on Copper River Seafoods site","https://www.copperriverseafoods.com/join-our-team/"
"UniSea — Seafood Processor (Dutch Harbor)","Year-round processing plant in Dutch Harbor, AK; pollock and other groundfish; 6-month contracts, 12-hr shifts, 6 days/wk typical","YOU GET PAID","Wage advertised with OT structure; room/board deducted at $15/day on days working over 8 hrs. Dorm housing and cafeteria meals on-site. 6-month contract preferred — less suitable for pure summer gap year","Unverified","Dutch Harbor (Unalaska), AK","6-month contracts; hiring rolling throughout year","Post-HS (18+)","Open","Operating — UniSea seafood processor posting active Apr 2026","https://www.unisea.com/job/seafood-processor/"
"Mountain Roots Food Project — Registered Farming Apprenticeship","Two-year Registered Apprenticeship in regenerative agriculture in Colorado; paid wages with tiered increases; structured hands-on training","YOU GET PAID","Starting at $17/hr with tiered raises over 2-year program. Possible AmeriCorps housing, education, and professional development benefits. Training on regenerative agriculture practices","No referral economics","Colorado (Mountain Roots Food Project area)","2-year registered apprenticeship","Post-HS / Both","Open","Operating — listed on Mountain Roots site","https://www.mountainrootsfoodproject.org/beginning-farmer-training-program"
